feature_set,n,n_toxic,n_safe,silhouette_true_labels,centroid_distance_between,mean_within_centroid_dist,between_over_within,pc1_mannwhitney_U,pc1_mannwhitney_p,pc1_auroc_abs,kmeans_silhouette,kmeans_ARI,kmeans_NMI,kmeans_purity,kmeans_posthoc_accuracy,agglo_silhouette,agglo_ARI,agglo_NMI,agglo_purity,agglo_posthoc_accuracy
GSVA,101,94,7,-0.024654215718434968,3.381508148054069,6.429875045630283,0.5259057328574571,237.0,0.22646571517085046,0.6398176291793313,0.24026734658349116,-0.03378651976404383,0.01357736987344833,0.9306930693069307,0.9306930693069307,0.24609801811959034,-0.0686520435299221,0.052320523661645524,0.9306930693069307,0.9306930693069307
ssGSEA,101,94,7,-0.021472734274822665,3.2541018226304614,6.41729671167682,0.5070829616946564,246.0,0.2764454440173108,0.6261398176291793,0.21137832915760738,0.007502303037638794,0.018488596712384432,0.9306930693069307,0.9306930693069307,0.2369610774778833,0.01305171347267212,0.0011423513736533819,0.9306930693069307,0.9306930693069307
Mean,101,94,7,-0.14074461972353022,2.852574613486888,4.90320320255296,0.5817777676441459,399.0,0.36043100701822756,0.6063829787234043,0.7784915802403675,-0.016475935394854313,0.004650928413675963,0.9306930693069307,0.9306930693069307,0.7784915802403675,-0.016475935394854313,0.004650928413675963,0.9306930693069307,0.9306930693069307
Median,101,94,7,-0.10681970498346251,2.4679988138189066,5.291728228218889,0.4663880508182476,246.0,0.2764454440173108,0.6261398176291793,0.7530691326264023,-0.016475935394854313,0.004650928413675963,0.9306930693069307,0.9306930693069307,0.7530691326264023,-0.016475935394854313,0.004650928413675963,0.9306930693069307,0.9306930693069307
Z,101,94,7,-0.043290801449667876,3.0285778760008992,6.287508441186906,0.48168171928993675,268.0,0.42664346451698104,0.5927051671732523,0.2077642106688509,-0.009827725116296399,0.0006586557613665397,0.9306930693069307,0.9306930693069307,0.18539235119235511,0.020347571642519276,0.004676722133835687,0.9306930693069307,0.9306930693069307
STACKED,101,94,7,-0.063583527353177,6.739752224594498,13.367939390729909,0.5041728592267726,263.0,0.38905943954600086,0.6003039513677811,0.18667348858381247,-0.013122063307936914,0.0029504721941799278,0.9306930693069307,0.9306930693069307,0.20499352969847728,-0.06681249531688983,0.05402450858761244,0.9306930693069307,0.9306930693069307
