drug_key,PC1,PC2,loo_dist_to_toxic_centroid,dist_percentile_vs_all,kmeans_cluster
gentamicin,6.910361403619174,-1.739508854073016,8.4506200725802,80.3921568627451,0
chlorpheniramine,6.35822574947396,-0.4719959369331792,7.855569708901231,72.54901960784314,0
caffeine,1.7381824430940445,-6.566196654506508,7.797315721160476,71.56862745098039,0
fluphenazine,1.651756708501447,-4.70750491784619,6.819407221962966,51.9607843137255,0
theophylline,-1.4161803385962626,1.9573861581742638,5.77423624855745,23.52941176470588,0
hydroxyzine,1.988017059975278,-0.24448018640481675,5.3285917520525015,14.705882352941178,0
propranolol,-2.411069820180082,-1.7059223578389324,5.244267105145744,9.803921568627452,1
