drug_key,y_hard,OR,PC1,PC2,kmeans_cluster,pc1_percentile_among_all
caffeine,0,0,1.738472769815673,6.559563316727163,0,64.35643564356435
chlorpheniramine,0,0,6.369039479764717,0.5144990886769024,0,94.05940594059405
fluphenazine,0,0,1.6545218457721307,4.7105125979933025,0,62.37623762376238
gentamicin,0,0,6.901544443613872,1.7592197111401642,0,95.04950495049505
hydroxyzine,0,1,2.012250944011858,0.26395318279028573,0,67.32673267326733
propranolol,0,0,-2.385051677981801,1.7102516866240813,1,28.71287128712871
theophylline,0,0,-1.3751438532419191,-1.935374351803197,0,32.67326732673268
