drug_key,y_hard,OR,PC1,PC2,kmeans,agglo
acarbose,1,0,9.951881674074235,-3.4227943794057065,1,0
acetaminophen,1,1,-14.546621132035988,4.6817088540189,0,1
acetazolamide,1,0,2.412957916127832,-5.621749946748741,1,0
adapin,1,1,7.942143618359561,-7.536964462224336,1,0
allopurinol,1,0,15.170350325709528,-1.6016834619791571,1,0
amiodarone,1,1,-0.3671400400037987,0.5681368156751924,1,0
amitriptyline,1,1,-0.1727988315749938,-0.8964833505893942,1,0
amphotericinb,1,0,3.554979983939585,-1.2717805360710692,1,0
aspirin,1,1,-7.463566414044825,-0.7616060986101354,0,1
azathioprine,1,1,2.455072579438228,-5.2736584476340775,1,0
bendazac,1,1,-8.913476371411273,-0.11095297834536381,0,1
benzbromarone,1,1,-11.096941464523633,-1.2121038837434235,0,1
benziodarone,1,1,-6.387292460046902,-6.294463886223365,0,0
bortezomib,1,1,14.399769533192812,44.339879637833064,1,0
caffeine,0,0,2.120820264621652,-11.664470732721492,1,0
captopril,1,0,2.497472471842852,-5.628585955213477,1,0
carbamazepine,1,1,-10.126673554123695,5.668205075995463,0,1
carbontetrachloride,1,1,2.137116017198698,15.768012901239437,1,1
carboplatin,1,0,4.028101560811852,1.7190070097845884,1,0
chlormezanone,1,1,-12.999787027155493,8.151807521692357,0,1
chlorpheniramine,0,0,10.172097575307301,-4.105324199915408,1,0
chlorpromazine,1,1,3.615955161782336,-6.537907157484657,1,0
chlorpropamide,1,1,-5.036916697891195,-5.139049314108465,0,0
cimetidine,1,1,6.713799304462476,-1.1001731273388562,1,0
ciprofloxacin,1,0,3.505738264089285,-2.953126102725503,1,0
cisplatin,1,0,0.8093605191331034,-3.1720282573809286,1,0
clofibrate,1,1,-12.244568987338972,0.08642562537654218,0,1
clomipramine,1,1,7.518100286226158,0.7057354194823965,1,0
cyclophosphamide,1,0,0.7619838528203002,-3.4527035188834376,1,0
cyclosporinea,1,0,-0.5312133282680241,1.7748676184950094,1,0
danazol,1,1,-15.617691547435243,6.518423188808056,0,1
dantrolene,1,1,-15.47577624881183,0.9975147453066314,0,1
diazepam,1,1,-13.076118766390566,-2.7288121816746824,0,1
diclofenac,1,0,19.143319643308104,6.107095879564061,1,0
diltiazem,1,1,-3.504106166637373,5.357257013643528,0,1
disopyramide,1,0,-11.730280910926814,-3.829634714259144,0,1
disulfiram,1,1,-9.658033031910502,0.03707147676110557,0,1
doxorubicin,1,0,2.683751806598115,-3.2217530010387834,1,0
enalapril,1,1,-1.380072922157618,-2.825408408327307,1,0
ethambutol,1,1,-11.665100341354007,13.145776951389584,0,1
ethanol,1,1,7.494524162544339,-8.79462004749587,1,0
ethionamide,1,1,-9.07622356689843,20.880271278619638,0,1
etoposide,1,0,7.619618563684749,-11.402006858571436,1,0
famotidine,1,0,12.228981143936466,-5.695933468281996,1,0
fenofibrate,1,1,-15.562014896910492,2.4151296747396307,0,1
fluphenazine,0,0,2.757852077314698,-9.804472058048924,1,0
flutamide,1,1,-15.43215837476042,8.709203455765048,0,1
gefitinib,1,1,5.174028115262789,4.473530449328232,1,0
gemfibrozil,1,1,-12.08282025254279,1.198689188839043,0,1
gentamicin,0,0,12.19770330143643,-5.1528285304193675,1,0
glibenclamide,1,0,0.049773019598723815,-1.190021498972555,1,0
griseofulvin,1,1,0.5261423799747791,3.7145073643654962,1,0
haloperidol,1,0,-1.0481479207548683,-2.8260553114498426,1,0
hydroxyzine,0,1,1.6780154838868673,-0.9248888243354947,1,0
ibuprofen,1,1,10.700518062421096,-1.0362768263374438,1,0
imatinibmethanesulfonatesalt,1,0,7.203563992682872,3.2832560040604193,1,0
imipramine,1,1,4.789785858880735,-2.6259993576943477,1,0
indomethacin,1,1,18.387413425503304,10.356507586793185,1,0
iproniazid,1,1,6.250885438405725,-4.938518997854392,1,0
isoniazid,1,1,-0.8411194976292418,-6.632301433101585,1,0
ketoconazole,1,1,-3.268672357566075,-4.335391707833309,0,0
labetalol,1,0,0.7708909349640178,-5.388491009215493,1,0
lomustine,1,1,13.811754618136893,4.558189423129002,1,0
mefenamicacid,1,1,17.931734980235174,3.8133672535196816,1,0
meloxicam,1,1,22.10962844805519,8.21526293326674,1,0
metformin,1,1,2.8792974475840216,3.4330788060725266,1,0
methimazole,1,1,-8.386431446590555,3.993808349815945,0,1
methyldopa,1,0,3.5163601431554894,-6.408989806613387,1,0
methyltestosterone,1,1,-6.943940972000826,7.336299287979038,0,1
mexiletine,1,0,0.3847371232193098,-4.83683203992392,1,0
moxisylyte,1,1,-6.565854554970658,1.8657115039238164,0,0
naproxen,1,1,16.87330981714518,6.48626553772609,1,0
nicotinicacid,1,1,5.314332862256746,-4.005935968855126,1,0
nifedipine,1,1,-6.299301577353735,3.769728422357665,0,1
nimesulide,1,1,-7.846124638106687,-1.0041739765989814,0,1
nitrofurantoin,1,0,3.285992134376367,-9.125163532358915,1,0
omeprazole,1,1,-9.566259832073625,0.3771221180661219,0,1
papaverine,1,1,-4.429231211916903,-4.260141444461667,0,0
pemoline,1,0,10.783636497082636,0.11170666919714803,1,0
penicillamine,1,0,6.086065645057742,-2.930058690302521,1,0
perhexiline,1,0,-1.6846216391136537,-5.1825862134236935,1,0
phenobarbital,1,1,-4.585013860708228,-0.5240522657702695,0,0
phenytoin,1,1,-4.611115134291788,-1.4654807552529177,0,0
propranolol,0,0,-5.786066187569319,-2.37004290563852,0,0
propylthiouracil,1,1,-1.4399530712281765,-2.986678841580774,1,0
quinidine,1,1,-4.343879310698742,-4.700126991788132,0,0
ranitidine,1,0,0.4612773613738867,-4.057646031100225,1,0
rifampicin,1,1,0.4176585671408525,-0.7259124115620471,1,0
simvastatin,1,1,-10.0494813604719,4.953265478391,0,1
sulfasalazine,1,1,-0.9390096383306494,-7.856270912308917,1,0
sulindac,1,1,14.86109169796529,11.247887711515526,1,0
tamoxifen,1,1,-0.586053867774061,2.0505910909465177,1,0
terbinafine,1,1,-17.361756395324864,-1.6636622579015927,0,1
tetracycline,1,1,4.15072111954583,-5.459020263518636,1,0
theophylline,0,0,-3.5388865955204056,1.331419428575832,0,0
thioridazine,1,1,-2.3147631863947855,-1.1891409871873697,1,0
ticlopidine,1,1,-17.252989431545895,7.699363946222823,0,1
tolbutamide,1,1,-2.8158124924474066,-4.097909180046883,0,0
triamterene,1,0,7.318371761485168,-3.5971754809259298,1,0
valproicacid,1,0,-2.7680002879100343,-5.478255799995144,0,0
vitamina,1,1,9.809441260090583,3.135192091092491,1,0
