M000071	"INTRAMYOCARDIAL ARTERIES, CELLULAR INFILTRATE, MIXED CELL"
M000072	"INTRAMYOCARDIAL ARTERIES, CELLULAR INFILTRATE, MONONUCLEAR CELL"
M000073	"INTRAMYOCARDIAL ARTERIES, DEGENERATION"
M000074	"INTRAMYOCARDIAL ARTERIES, NECROSIS, FIBRINOID"
M000075	"INTRAMYOCARDIAL ARTERIES, PERIVASCULAR EDEMA"
M000076	"INTRAMYOCARDIAL ARTERIES, PERIVASCULAR FIBROSIS"
M000077	"INTRAMYOCARDIAL ARTERIES, TUNICA MEDIA, HYPERTROPHY"
M000078	"LEFT ATRIUM, CELLULAR INFILTRATE, MONONUCLEAR CELL"
M000079	"LEFT ATRIUM, FIBROSIS"
M000080	"LEFT ATRIUM, MYOCYTE, DEGENERATION"
M000081	"LEFT VENTRICLE, CELLULAR INFILTRATE, MIXED CELL"
M000082	"LEFT VENTRICLE, CELLULAR INFILTRATE, MONONUCLEAR CELL"
M000083	"LEFT VENTRICLE, FIBROSIS"
M000084	"LEFT VENTRICLE, MYOCYTE, DEGENERATION"
M000085	LYMPH NODE EDEMA
M000086	LYMPH NODE HEMORRHAGE
M000087	LYMPH NODE PLASMACYTOSIS
M000088	LYMPH NODE PROLIFERATION
M000089	LYMPHOID DEPLETION
M000090	MALIGNANT LYMPHOMA
M000091	"MEDULLA, CYST(S)"
M000092	"MEDULLA, MINERALIZATION"
M000093	"MEDULLA, TUBULE, DILATATION"
M000094	"MIDZONAL, INFLAMMATORY CELL INFILTRATE, MIXED CELL"
M000095	NEPHROPATHY
M000096	"NONZONAL, EXTRAMEDULLARY HEMATOPOIESIS"
M000097	"NONZONAL, INFLAMMATORY CELL INFILTRATE, GRANULOMATOUS"
M000098	"NONZONAL, INFLAMMATORY CELL INFILTRATE, LYMPHOID"
M000099	"NONZONAL, INFLAMMATORY CELL INFILTRATE, MIXED CELL"
M000100	NUCLEAR CYTOPLASMIC CONDENSATION
M000101	"OVAL CELL, HYPERPLASIA"
M000102	"PAPILLA, CYST(S)"
M000103	"PAPILLA, MINERALIZATION"
M000104	"PAPILLA, NECROSIS"
M000105	"PAPILLA, TUBULE, REGENERATION"
M000106	"PAPILLARY MUSCLE, CELLULAR INFILTRATE, MIXED CELL"
M000107	"PAPILLARY MUSCLE, CELLULAR INFILTRATE, MONONUCLEAR CELL"
M000108	"PAPILLARY MUSCLE, MYOCYTE, DEGENERATION"
M000109	"PELVIS, DILATATION"
M000110	"PELVIS, INFLAMMATION, SUBACUTE"
M000111	"PELVIS, UROTHELIAL HYPERPLASIA"
M000112	"PERIPORTAL, EDEMA"
M000113	"PERIPORTAL, FIBROSIS"
M000114	"PERIPORTAL, INFLAMMATORY CELL INFILTRATE, LYMPHOID"
M000115	"PERIPORTAL, INFLAMMATORY CELL INFILTRATE, MIXED CELL"
M000116	"PERIPORTAL, INFLAMMATORY CELL INFILTRATE, NEUTROPHILIC"
M000117	"PERIPORTAL, MINERALIZATION"
M000118	PERITONITIS
M000119	"RIGHT ATRIUM, CELLULAR INFILTRATE, MIXED CELL"
M000120	"RIGHT ATRIUM, CELLULAR INFILTRATE, MONONUCLEAR CELL"
M000121	"RIGHT ATRIUM, MYOCYTE, DEGENERATION"
M000122	"RIGHT BICEPS FEMORIS, MYOCYTE, DEGENERATION"
M000123	"RIGHT BICEPS FEMORIS, MYOCYTE, INFLAMMATION"
M000124	"RIGHT BICEPS FEMORIS, MYOCYTE, NUCLEAR PROLIFERATION"
M000125	"RIGHT BICEPS FEMORIS, MYOCYTE, REGENERATION"
M000126	"RIGHT GASTROCNEMIUS, MYOCYTE, DEGENERATION"
M000127	"RIGHT GASTROCNEMIUS, MYOCYTE, INFLAMMATION"
M000128	"RIGHT GASTROCNEMIUS, MYOCYTE, REGENERATION"
M000129	"RIGHT SOLEUS, MYOCYTE, DEGENERATION"
M000130	"RIGHT SOLEUS, MYOCYTE, INFLAMMATION"
M000131	"RIGHT SOLEUS, MYOCYTE, REGENERATION"
M000132	"RIGHT VENTRICLE, CELLULAR INFILTRATE, MIXED CELL"
M000133	"RIGHT VENTRICLE, CELLULAR INFILTRATE, MONONUCLEAR CELL"
M000134	"RIGHT VENTRICLE, FIBROSIS"
M000135	"RIGHT VENTRICLE, MINERALIZATION"
M000136	"RIGHT VENTRICLE, MYOCYTE, DEGENERATION"
M000137	"RIGHT VENTRICLE, MYOCYTE, LIPID ACCUMULATION"
M000138	SINGLE HEPATOCYTE NECROSIS
M000139	"SUBCAPSULAR, FIBROSIS"
M000140	"SUBCAPSULAR, MINERALIZATION"
M000141	"TUBULE, CAST, PROTEINACEOUS"
M000142	"TUBULE, DEPOSIT"
M000143	"TUBULE, HYALINE DROPLETS"
M000144	"TUBULE, REGENERATION"
M000145	VASCULITIS
M000146	VILLUS TIP FUSION
