model,auroc,sens,spec,mcc,tp,fn,fp,tn,thr
GSVA_topk10_nested,0.7462006079027356,0.9468085106382979,0.2857142857142857,0.23252279635258358,89,5,5,2,-0.9456168447781587
GSVA_topk10+OR_nested,0.790273556231003,0.9468085106382979,0.5714285714285714,0.46198328621816015,89,5,3,4,-1.2078147202875709
GSVA_topk10+OR_two_stage,0.8449848024316109,0.9468085106382979,0.42857142857142855,0.3530185596738461,89,5,4,3,-1.2101334088083469
